,race,age,engnat,gender,hand,source,country,O,C,E,A,N
41,8,17,1,2,1,5,US,2.5,3.4,3.5,3.3,4.1
42,6,17,1,2,1,5,US,3.4,3.1,2.9,3.1,3.3
43,13,60,1,2,1,5,US,3.5,3.4,2.8,4.0,3.8
44,3,27,1,2,1,2,CA,3.6,3.5,3.3,3.4,3.8
45,3,19,1,2,1,2,US,3.6,3.7,3.5,2.9,3.3
46,3,20,1,1,1,1,US,3.3,2.9,3.0,3.1,2.8
47,4,19,1,1,1,1,IN,3.0,3.3,3.0,3.5,1.6
48,13,26,2,2,1,1,US,3.4,3.1,3.0,3.3,4.2
49,6,24,2,1,1,1,MX,3.9,3.4,2.8,3.3,3.9
50,3,19,1,2,2,1,US,3.4,3.7,2.6,3.1,3.5
51,3,18,1,2,1,5,GB,4.2,3.6,2.9,3.0,4.4
52,3,14,1,2,1,1,US,3.6,2.9,2.3,2.8,3.5
53,13,25,2,2,1,1,IN,2.4,2.8,2.4,3.1,2.2
54,3,47,1,1,1,1,US,3.4,3.2,2.8,3.0,3.2
55,3,18,1,1,1,5,US,3.6,3.1,3.0,2.8,3.2
56,3,23,2,1,2,1,SE,3.5,3.4,3.2,3.1,4.2
57,3,14,1,3,1,1,GB,2.8,3.2,2.2,2.2,3.5
58,3,20,1,2,1,1,US,3.7,2.5,2.7,3.0,3.2
59,5,35,1,2,2,1,US,3.8,2.9,2.6,3.2,3.5
60,3,34,1,2,1,1,US,2.9,3.0,3.1,3.3,2.7
61,13,36,2,2,1,1,JO,3.0,3.7,4.3,4.2,4.3
62,3,15,1,1,1,1,US,3.6,3.4,3.4,3.2,3.7
63,3,20,1,1,1,1,US,3.3,3.6,3.1,3.7,2.3
64,3,54,1,2,1,1,CA,3.4,3.6,2.8,3.1,2.2
65,3,47,2,1,1,5,US,3.4,2.7,3.2,3.5,2.7
66,4,17,2,1,1,1,IN,3.6,3.4,3.9,4.4,4.4
67,11,45,2,1,1,1,US,3.3,3.3,3.5,3.4,2.3
68,3,32,1,2,1,2,US,2.9,3.8,2.8,3.0,3.9
69,3,23,2,2,1,2,NO,3.3,2.9,2.8,3.1,3.3
70,11,23,1,2,1,1,US,2.9,2.9,2.9,3.2,2.4
71,3,14,1,2,1,1,US,3.4,3.7,2.5,3.0,4.0
72,3,19,1,1,1,1,IE,3.4,3.2,3.4,3.3,3.4
73,3,15,1,2,1,1,NZ,3.2,3.5,3.4,2.9,3.8
74,3,49,2,2,1,1,FI,3.6,3.1,3.2,3.3,3.1
75,5,47,1,2,2,2,US,3.7,3.2,3.1,3.2,3.0
76,3,23,2,2,1,2,BE,3.5,2.9,3.1,3.2,3.8
77,3,19,2,2,1,1,FI,3.6,3.4,2.8,2.8,3.4
78,3,36,1,1,1,1,US,3.8,3.4,2.9,3.3,3.6
79,3,21,1,2,1,1,GB,3.6,3.5,3.2,3.2,3.5
80,3,21,2,2,1,1,BE,3.7,3.9,2.5,3.4,4.0
81,3,13,1,1,1,1,GB,3.0,3.3,3.5,3.0,4.4
82,13,21,2,2,1,5,US,3.1,2.8,2.9,3.2,3.0
83,3,32,2,1,1,1,HR,3.0,2.9,3.1,3.3,1.8
84,3,33,1,2,1,1,US,3.7,2.8,3.1,2.9,2.9
85,3,33,1,1,1,1,US,3.5,3.3,2.9,3.2,2.6
86,3,16,1,1,1,1,GB,3.1,3.1,2.9,3.4,3.2
87,3,21,2,2,1,1,BE,3.3,3.4,3.2,3.0,3.4
88,3,31,2,2,1,5,NO,3.5,2.7,2.9,2.5,2.0
89,3,17,1,1,1,1,US,3.7,2.5,3.1,3.0,2.4
90,3,26,1,2,1,5,GB,3.1,3.4,2.8,3.0,2.8
91,3,34,2,1,1,1,BE,3.8,3.5,2.7,3.4,3.7
92,1,21,1,2,1,1,ZA,3.4,3.4,2.6,2.6,1.4
93,3,26,2,2,1,2,US,3.3,3.5,3.4,3.5,2.8
94,3,22,2,2,1,1,NO,3.6,3.2,3.1,3.2,1.8
95,3,19,2,2,1,1,NO,2.8,2.6,2.5,3.0,3.7
96,3,19,2,1,1,1,FI,3.2,2.7,3.2,3.5,3.1
97,1,21,1,2,1,1,US,3.6,3.3,3.5,3.4,3.1
98,3,49,2,1,1,1,BE,3.2,3.6,2.9,3.0,1.9
99,3,18,1,2,1,1,US,3.4,3.4,3.7,3.8,2.8
100,3,32,1,2,1,4,US,3.0,2.8,2.4,3.0,3.6
101,3,60,1,2,1,1,US,3.8,3.3,3.4,3.3,3.1
102,3,22,1,2,1,1,IE,3.7,3.0,2.6,3.5,3.7
103,3,24,1,1,1,1,PL,3.1,3.0,3.1,2.0,2.5
104,6,16,2,2,2,1,BR,3.1,3.5,2.5,3.2,2.6
105,3,20,2,1,1,1,SK,3.0,3.0,3.0,3.1,3.3
106,1,47,1,2,1,2,US,3.0,2.5,2.6,2.9,2.3
107,3,15,1,2,1,1,US,3.2,3.5,2.5,2.9,3.8
108,13,17,1,2,1,1,US,2.6,2.4,3.2,2.7,3.7
109,13,13,1,2,3,1,US,3.4,3.8,3.4,3.8,1.0
110,3,16,2,2,1,1,HR,3.5,3.7,3.5,3.1,3.7
111,5,23,2,2,1,1,SA,3.2,2.6,3.2,2.5,3.1
112,3,30,1,2,1,1,US,3.2,3.1,3.2,3.4,2.4
113,3,17,1,2,1,1,US,3.3,3.5,2.6,3.7,3.0
114,6,20,1,2,1,2,US,2.8,3.0,3.0,3.1,3.2
115,3,25,1,1,1,1,US,3.5,3.0,2.8,2.6,3.3
116,3,27,2,1,1,1,BR,3.6,3.2,2.6,3.1,3.4
117,3,25,1,2,1,1,US,3.5,3.4,3.0,2.8,2.8
118,3,21,1,2,1,2,US,3.0,3.2,2.9,3.2,2.8
119,3,59,1,1,1,1,IE,3.7,2.6,2.8,2.8,2.2
120,3,30,1,2,1,2,US,3.7,2.8,2.9,2.8,2.1
121,3,37,1,2,1,1,US,4.2,2.8,3.1,3.1,3.4
122,11,27,2,2,1,1,NZ,3.0,3.1,3.0,3.3,3.7
123,6,41,1,2,2,2,US,3.4,3.2,3.0,3.1,3.3
124,3,18,1,1,1,1,GB,3.3,3.0,3.4,3.4,2.8
125,3,21,1,2,1,1,US,3.2,3.2,2.9,3.4,3.5
126,6,15,1,2,1,1,US,3.2,3.7,3.2,3.3,2.8
127,3,18,2,2,1,1,BR,3.9,3.3,2.6,2.9,4.1
128,3,20,1,1,2,1,GB,3.5,2.8,3.0,3.4,2.4
129,13,35,1,1,1,1,US,3.7,3.3,3.2,3.3,2.5
130,3,24,1,2,1,1,GB,3.0,2.7,2.6,2.7,3.1
131,3,33,1,2,1,1,US,3.3,2.8,3.3,2.8,3.9
132,1,20,2,2,1,1,PH,2.7,2.9,3.1,2.6,2.8
133,3,59,1,2,1,1,US,3.4,2.8,3.1,3.4,2.2
134,3,19,1,2,2,1,CA,3.5,3.0,2.9,3.1,2.8
135,13,26,2,1,1,1,BR,3.6,3.6,2.4,3.0,3.3
136,3,24,2,2,1,1,CA,3.5,4.0,2.7,3.7,2.2
137,3,31,1,2,1,2,US,3.1,3.0,3.0,3.5,3.8
138,3,30,1,2,1,1,US,3.2,2.8,2.6,3.5,2.7
139,5,18,1,2,1,1,US,2.5,3.2,2.6,3.0,3.4
140,13,24,1,2,1,5,US,3.3,3.4,2.9,3.1,3.1
141,13,13,0,2,1,1,US,3.8,3.5,3.1,3.1,2.7
142,3,19,1,2,1,1,US,3.1,2.8,3.2,3.4,2.5
143,11,20,1,2,1,2,US,3.4,2.9,3.1,2.9,3.4
144,11,13,1,2,1,1,US,3.5,3.6,2.9,3.0,3.4
145,13,16,1,2,1,2,US,3.3,2.6,3.0,2.7,3.6
146,3,17,1,2,1,1,AU,3.3,2.8,2.5,3.4,2.2
147,3,27,1,2,1,1,US,3.1,2.2,3.0,3.4,2.3
148,3,20,1,2,1,5,US,3.6,3.1,2.7,2.9,2.7
149,9,44,2,2,1,1,JP,2.9,2.7,2.9,3.0,2.8
150,3,21,1,2,1,1,CA,3.0,2.9,3.0,3.1,3.5
151,3,21,1,2,1,2,CA,3.4,3.7,3.0,3.0,2.9
152,4,23,2,1,1,1,IN,2.6,3.0,3.2,3.5,2.6
153,13,24,1,2,1,1,US,4.3,3.3,2.9,4.0,4.1
154,1,39,1,1,1,1,CA,2.9,2.3,3.3,2.8,2.8
155,3,45,1,2,1,2,US,3.6,3.8,2.7,2.9,3.0
156,3,45,1,2,2,5,US,3.0,2.5,2.8,3.3,2.8
157,1,20,1,1,1,1,US,3.7,3.3,3.1,3.3,1.8
158,13,21,1,2,1,1,US,3.3,3.8,3.1,3.0,3.8
159,1,23,2,2,1,2,ID,3.3,3.4,2.3,3.4,3.1
160,9,23,2,2,1,1,PH,3.6,3.5,2.6,3.0,2.9
161,3,22,1,2,1,1,US,3.0,3.1,3.2,3.1,3.4
162,3,16,1,2,1,1,US,3.6,3.3,3.6,3.6,3.6
163,3,20,1,1,1,5,AU,3.7,2.5,3.0,3.5,2.6
164,1,33,2,2,1,1,IN,2.9,3.1,3.4,3.6,2.3
165,13,17,1,2,1,1,AU,3.3,3.1,3.3,3.0,3.7
166,11,17,1,0,1,1,CA,3.3,3.2,2.7,2.8,2.8
167,3,20,1,2,1,5,US,3.1,3.5,2.7,3.4,4.0
168,1,59,1,2,1,1,US,3.3,2.0,2.8,3.2,1.8
169,3,25,1,1,1,2,CA,3.6,3.8,3.4,3.4,2.5
170,3,18,1,2,1,1,AU,3.3,2.8,2.2,2.2,3.4
171,1,27,2,1,1,1,US,3.2,3.3,3.1,3.6,3.8
172,3,24,1,2,1,1,CA,3.1,2.8,2.9,3.5,3.3
173,3,29,1,1,3,1,US,3.8,3.0,3.1,3.2,2.2
174,3,16,1,2,3,1,US,3.2,3.0,3.3,3.4,2.0
175,11,29,1,1,1,2,US,3.2,3.3,3.7,3.3,2.5
176,13,33,2,2,1,2,US,3.2,2.6,2.9,2.9,4.0
177,4,21,2,1,1,1,IN,3.3,3.0,3.3,3.3,3.1
178,3,26,1,1,1,3,US,3.6,3.1,3.2,3.1,3.1
179,11,21,2,1,1,1,IN,2.8,2.8,2.9,3.1,3.1
180,4,26,2,2,1,1,IN,3.2,2.6,3.2,3.1,2.9
181,3,14,1,1,1,1,US,3.7,3.0,2.9,3.1,3.6
182,1,13,1,1,1,1,US,3.4,3.2,3.4,3.4,4.4
183,3,30,2,1,1,1,SE,3.6,3.5,3.1,3.5,2.6
184,3,27,1,1,1,1,US,3.8,3.2,3.7,3.4,3.9
185,3,17,1,1,1,1,US,3.7,3.4,3.0,3.1,4.1
186,13,17,1,2,1,5,US,2.9,2.6,3.5,2.8,2.9
187,11,19,1,2,1,1,AU,3.0,3.1,3.1,2.9,2.8
188,0,18,1,1,1,1,US,3.6,3.3,3.1,2.4,2.6
189,11,23,2,2,1,1,MY,3.2,2.9,2.8,3.1,3.1
190,1,20,2,2,1,1,IN,2.7,3.3,3.2,4.2,2.3
191,11,19,2,2,1,2,MY,3.3,3.3,3.1,3.6,3.8
192,13,23,2,1,1,1,IN,3.1,3.1,3.2,3.6,2.7
193,13,14,1,1,1,1,US,3.6,3.2,3.3,2.8,3.1
194,4,18,1,1,1,1,IN,3.2,2.9,3.7,3.2,4.1
195,1,18,1,2,1,1,US,3.2,2.6,3.5,3.8,2.3
196,5,16,2,1,1,1,KW,3.5,2.7,2.9,2.9,3.5
197,0,23,1,2,1,1,OM,2.8,3.9,2.9,3.7,2.7
198,4,22,2,2,1,1,IN,3.0,3.4,3.3,3.8,2.7
199,11,19,1,1,1,1,US,3.6,3.0,3.1,3.3,2.2
200,13,21,2,1,1,1,US,3.6,3.5,2.9,3.0,3.3
201,11,19,2,1,1,1,MY,3.1,3.4,3.0,3.0,3.5
202,10,14,1,1,2,1,AU,3.3,3.2,3.5,4.1,4.0
203,3,39,1,2,2,1,AU,3.4,3.3,3.1,3.6,3.9
204,3,26,2,1,1,5,DK,3.6,3.1,2.9,3.5,1.8
205,3,48,1,1,1,1,GB,3.9,2.9,3.3,3.0,2.0
206,3,33,1,2,1,5,NZ,3.4,3.2,2.8,2.7,3.5
207,7,20,0,1,1,5,ID,3.2,3.3,3.5,3.5,2.9
208,3,22,2,2,2,3,DK,3.9,3.7,3.0,3.4,2.9
209,13,21,2,1,1,1,TR,2.8,3.0,3.0,2.0,2.8
210,3,29,1,2,1,5,GB,2.9,4.0,3.1,2.8,3.3
211,3,43,1,1,1,1,AU,3.3,3.2,3.2,3.0,3.0
212,11,13,1,2,3,1,SG,3.7,3.1,2.9,3.2,3.6
213,4,22,2,1,1,2,IN,3.4,2.9,3.3,3.8,3.3
214,13,23,1,2,1,2,GB,2.7,3.3,3.1,3.7,3.8
215,3,24,2,1,1,1,LT,2.8,3.5,3.2,3.0,3.3
216,3,39,2,1,2,5,GB,3.7,3.5,2.5,2.9,3.9
217,3,29,1,2,1,5,AU,3.9,3.1,2.7,3.5,2.5
218,3,39,1,1,1,1,IE,3.4,2.7,3.1,3.1,2.5
219,11,26,2,2,1,1,US,3.0,2.6,2.8,3.3,3.7
220,13,17,1,2,1,1,GB,4.0,3.2,2.6,3.4,4.3
221,3,18,1,2,1,1,AU,3.1,3.0,3.4,3.0,3.5
222,5,17,2,2,1,5,IL,3.3,3.0,3.0,3.5,2.9
223,1,26,2,2,1,1,IN,3.2,3.1,3.2,3.4,2.9
224,3,17,1,1,2,1,GB,3.1,3.0,3.2,3.3,3.6
225,3,16,1,2,1,2,GB,2.7,3.5,2.7,3.0,3.0
226,3,17,1,2,1,1,GB,3.5,3.4,3.4,3.4,3.1
227,3,35,2,1,1,1,PL,3.5,3.6,3.1,3.1,2.5
228,1,39,1,2,1,1,DE,3.2,3.8,2.7,3.3,3.4
229,3,18,1,2,1,5,GB,3.2,2.9,2.7,3.1,3.1
230,11,29,1,2,1,5,MY,2.9,2.9,3.0,3.0,3.3
231,11,15,2,2,1,1,ID,3.6,3.1,2.6,3.3,4.0
232,13,15,2,1,1,1,IN,3.8,2.7,3.2,3.1,3.8
233,4,16,2,1,1,1,AE,2.8,4.5,3.5,4.2,4.5
234,3,20,2,2,1,1,LT,3.5,3.1,3.0,3.4,3.0
235,4,19,2,1,1,1,PK,2.2,2.9,2.8,2.4,3.3
236,3,42,1,2,2,1,GB,3.3,2.7,2.6,3.3,4.0
237,1,19,2,1,1,2,MY,3.3,3.3,3.1,3.4,3.4
238,9,18,2,2,1,2,BT,3.7,3.4,3.2,2.9,3.9
239,11,17,2,1,1,2,ID,3.1,3.2,3.0,3.0,2.6
240,3,15,2,2,2,1,DE,3.3,3.2,2.8,2.8,3.9
241,3,42,2,2,1,1,DK,3.5,2.8,3.2,3.2,1.9
242,3,25,1,2,1,1,US,3.3,3.3,2.7,3.7,3.8
243,1,15,1,1,1,5,CA,3.3,2.7,3.3,3.2,3.6
244,4,17,2,2,1,1,IN,3.8,4.3,3.9,3.6,4.4
245,4,16,2,2,1,1,IN,3.9,2.4,3.0,3.9,4.3
246,1,26,2,1,2,1,AR,3.3,3.2,2.4,2.5,3.1
247,3,19,2,3,1,5,RO,3.1,2.4,3.0,3.2,3.0
248,3,37,2,2,1,1,RS,3.4,3.0,2.7,2.7,3.0
249,4,24,2,1,1,1,IN,2.6,3.3,3.2,3.4,3.5
250,11,19,2,2,1,5,PH,3.4,2.5,3.4,3.6,2.4
251,1,36,1,1,1,1,US,3.5,2.8,3.0,3.4,2.3
252,4,16,2,1,1,1,IN,3.0,3.2,3.6,3.7,3.5
253,4,24,2,1,1,1,IN,3.1,2.8,3.6,3.2,2.9
254,12,26,1,2,1,1,GH,3.0,3.4,3.1,2.9,2.9
255,11,20,1,1,1,1,PH,4.2,4.4,3.4,3.6,3.5
256,3,38,2,2,1,1,NL,3.0,2.7,2.1,2.8,3.9
257,6,15,1,2,2,1,US,3.6,3.4,2.8,2.7,2.9
258,3,17,2,2,1,1,DK,3.2,3.5,2.8,2.9,3.1
259,4,22,2,1,1,1,AU,3.2,2.9,2.8,3.0,3.4
260,7,20,1,2,1,1,MU,3.1,3.3,3.6,3.8,2.8
261,13,27,1,2,1,5,KE,3.4,3.2,2.5,3.0,1.6
262,11,42,2,2,1,1,PH,3.7,3.1,3.5,3.7,3.4
263,3,25,1,2,2,2,GB,3.5,3.1,2.7,3.2,2.8
264,3,39,1,2,1,1,US,3.5,3.4,3.3,3.2,3.0
265,4,23,2,1,1,5,IN,2.8,3.0,2.6,2.8,3.2
266,11,14,2,2,1,1,PH,3.7,2.7,3.0,3.0,4.3
267,13,21,2,2,1,1,GB,3.2,3.5,3.1,3.1,2.8
268,3,43,1,2,1,1,US,3.7,3.2,2.9,2.6,3.1
269,3,20,2,2,1,1,BR,2.6,2.8,3.0,2.5,3.5
270,3,19,2,2,1,1,HR,3.4,2.7,2.9,3.1,4.0
271,3,29,1,2,1,1,GB,3.5,3.3,3.4,3.5,3.6
272,3,23,1,2,1,1,GB,3.8,3.4,3.4,3.3,3.0
273,3,13,1,1,2,1,GB,3.2,3.2,3.2,3.0,2.5
274,13,17,1,2,1,1,GB,2.9,3.4,3.2,3.1,4.0
275,11,21,2,2,1,1,PH,3.0,2.6,3.3,3.6,2.6
276,3,35,1,1,1,1,US,3.4,3.3,3.0,3.1,2.7
277,3,29,1,2,1,1,US,3.3,3.0,2.8,3.6,3.6
278,8,13,1,1,1,5,US,3.6,3.2,3.4,2.9,1.5
279,13,13,1,2,1,5,US,2.2,2.8,3.1,2.4,1.7
280,8,13,1,1,1,5,US,2.5,2.8,3.1,2.6,1.6
281,13,13,1,1,1,5,US,3.5,2.5,3.1,2.8,4.1
282,3,13,1,2,1,5,US,2.7,3.0,3.5,3.3,2.7
283,13,13,1,2,1,5,US,3.4,3.6,3.4,3.6,4.1
284,10,13,2,1,1,5,US,3.7,3.0,2.8,3.0,2.6
285,3,13,1,1,1,5,US,3.5,3.2,3.4,3.0,1.6
286,9,13,1,2,1,5,US,2.8,2.7,2.9,2.8,1.8
287,3,13,1,1,1,5,US,4.2,3.1,3.2,2.2,3.0
288,3,13,1,2,1,5,US,2.5,2.4,2.9,3.4,3.9
289,3,14,1,1,1,5,US,4.1,3.8,4.1,3.4,2.7
290,3,13,1,2,1,5,US,3.4,3.2,2.7,2.9,2.4
291,5,13,1,1,1,5,US,2.4,3.5,3.3,2.9,2.6
292,13,13,1,2,1,5,US,3.0,3.2,3.9,3.7,4.0
293,2,14,1,1,2,5,US,1.8,1.4,2.2,1.4,1.4
294,1,13,1,1,1,5,US,3.8,3.4,2.8,3.8,1.4
295,1,13,1,1,1,5,US,2.8,3.0,3.1,2.8,1.5
296,5,13,1,1,1,5,US,3.2,3.2,3.4,2.8,3.0
297,1,14,1,2,1,5,US,2.6,3.0,3.7,3.4,3.0
298,5,13,1,2,1,5,US,3.4,3.8,3.6,4.2,1.8
299,3,13,1,1,1,5,US,3.0,2.8,3.2,2.1,3.5
300,1,13,1,2,1,5,US,3.1,2.5,3.1,3.2,2.2
301,4,14,1,1,1,5,US,4.0,3.4,3.8,3.6,3.7
302,11,25,2,1,1,2,SG,3.7,2.6,3.2,3.0,2.9
303,1,13,1,2,1,5,US,2.9,3.3,3.3,3.2,2.2
304,1,13,1,1,1,5,US,3.8,3.4,3.0,3.4,1.4
305,13,24,2,2,1,1,PK,3.8,4.6,3.4,3.0,3.8
306,3,42,2,2,1,5,HR,3.4,3.1,2.8,3.0,2.7
307,3,33,2,1,2,1,SE,3.6,2.9,3.5,3.3,2.0
308,6,20,1,2,1,5,(nu,3.2,3.3,3.5,3.3,3.6
309,3,41,1,2,1,2,US,3.6,3.5,3.3,3.4,2.1
310,3,26,1,2,1,1,US,3.3,3.1,3.2,3.1,2.7
311,13,17,1,1,1,5,US,4.6,3.1,4.3,3.7,4.4
312,3,38,1,2,2,1,US,3.2,2.6,3.3,2.9,2.5
313,3,17,1,1,3,1,US,3.1,2.9,3.2,4.1,2.1
314,13,35,1,2,1,2,US,3.3,3.8,2.9,3.9,2.9
315,1,21,1,1,1,1,AU,2.6,3.1,2.8,2.5,2.3
316,13,21,2,1,1,1,IN,2.9,2.7,3.0,2.4,2.9
317,3,27,1,2,1,1,US,3.2,3.5,2.9,3.9,2.9
318,1,17,1,2,1,1,US,3.6,3.3,3.4,4.0,3.6
319,1,28,1,2,1,2,US,3.6,3.8,2.8,3.7,4.1
320,11,14,1,2,1,1,CA,3.7,2.9,3.4,3.0,3.2
321,3,17,2,2,1,5,US,3.3,3.4,2.6,3.2,3.1
322,12,17,1,2,1,5,US,3.0,2.6,3.6,2.9,3.3
323,13,17,1,1,1,5,US,2.7,3.1,3.5,3.1,2.8
324,13,16,1,2,1,5,US,2.7,2.6,3.0,3.7,1.7
325,13,16,2,1,1,5,US,3.1,2.7,3.2,2.8,2.9
326,13,16,1,2,1,5,US,3.6,4.0,3.7,4.0,3.2
327,3,17,1,1,1,5,US,3.4,3.2,3.3,3.3,2.5
328,13,15,1,2,1,5,US,3.5,3.4,2.2,2.4,4.1
329,11,16,1,2,1,5,US,2.7,3.2,2.9,3.2,3.5
330,13,16,1,1,1,5,US,3.3,3.6,3.0,3.0,2.2
331,13,1997,1,2,1,1,US,2.7,2.1,3.1,2.4,2.9
332,9,17,1,2,1,5,US,3.2,3.8,3.5,3.7,4.8
333,3,16,2,1,1,1,AT,3.1,3.0,3.4,3.3,3.8
334,3,17,1,2,1,5,US,2.9,3.3,2.9,2.7,3.1
335,3,33,1,2,1,1,US,4.0,3.3,2.5,3.0,2.8
336,3,18,1,1,2,5,US,4.1,3.1,3.4,3.1,3.7
337,13,20,1,1,2,2,US,3.9,2.7,3.1,3.5,2.1
338,3,40,2,2,1,1,NO,3.2,2.8,2.6,3.1,3.8
339,3,19,2,2,1,1,SE,3.0,3.2,3.1,3.0,2.9
340,3,24,1,2,1,1,US,3.7,3.7,2.9,3.4,3.5
341,11,17,2,1,1,1,ID,2.5,3.1,3.3,3.2,4.0
342,1,18,2,1,1,1,TZ,3.6,3.0,3.1,3.0,3.8
343,11,15,1,2,1,1,SG,3.5,3.6,3.0,3.3,4.2
344,8,17,1,1,1,1,US,2.9,2.6,3.1,3.4,2.3
345,3,19,2,2,1,1,SK,3.7,3.3,3.5,3.3,3.3
346,13,24,1,2,1,1,US,4.2,4.3,3.1,3.6,4.4
347,3,32,1,2,1,1,US,3.2,3.1,2.9,3.2,3.4
348,3,20,2,2,1,1,FI,3.1,2.6,2.6,3.0,3.7
349,3,30,1,1,2,1,US,3.7,2.9,2.7,3.5,3.2
350,3,16,2,2,1,1,ES,3.7,3.3,3.0,2.9,4.6
351,1,34,2,1,3,5,US,3.4,3.1,2.0,3.5,3.9
352,3,31,2,2,1,1,RS,3.3,3.5,3.0,3.1,3.4
353,13,27,2,2,1,5,US,2.0,3.0,3.8,2.8,2.4
354,3,55,1,2,1,1,US,3.8,3.2,3.2,3.5,3.1
355,3,35,2,2,1,1,SE,3.0,3.0,3.1,3.1,3.1
356,3,60,1,1,1,1,US,3.8,2.9,3.3,2.3,2.0
357,3,48,1,1,0,1,CA,3.0,2.7,2.7,3.4,2.2
358,3,32,1,1,1,2,US,3.8,3.4,3.0,2.8,3.3
359,3,60,1,1,1,2,NL,2.9,2.9,2.7,2.8,1.8
360,3,58,1,2,1,1,US,3.4,2.6,3.2,3.4,1.8
361,3,22,2,1,1,1,BE,3.3,3.2,2.8,3.1,2.4
362,11,23,1,2,1,2,US,4.1,3.8,3.5,4.0,3.4
363,3,19,2,1,2,1,LT,2.7,3.2,3.4,3.2,3.7
364,3,24,1,2,1,2,US,3.4,3.1,2.8,3.6,2.4
365,12,25,2,2,1,1,,3.1,3.1,3.1,3.1,3.5
366,13,45,2,2,1,1,NO,3.5,3.3,3.3,3.5,2.2
367,3,25,2,1,1,1,HU,3.5,2.8,2.7,2.5,2.7
368,3,25,1,2,1,5,RU,3.5,3.1,3.3,3.3,2.5
369,6,14,1,2,2,1,US,3.1,2.9,3.1,2.6,3.0
370,1,20,2,2,1,2,UG,2.7,2.9,3.7,3.1,1.6
371,3,20,1,2,1,1,US,3.0,2.8,2.9,2.9,3.6
372,3,17,1,2,1,1,US,3.4,3.7,3.3,3.6,2.8
373,3,22,1,1,1,1,BR,3.9,3.2,3.1,3.5,4.2
374,3,30,1,2,1,5,US,3.1,3.5,2.7,3.8,3.0
375,12,29,2,2,1,1,US,3.4,3.2,3.4,2.8,3.3
376,1,22,1,2,1,1,US,3.4,3.2,3.3,2.6,2.3
377,3,15,1,2,1,1,GB,3.2,3.1,2.8,3.1,3.6
378,3,13,1,2,1,5,GB,2.9,3.0,2.7,3.3,4.1
379,3,14,1,2,1,1,US,3.7,3.2,3.2,3.4,3.1
380,3,18,1,2,1,2,US,3.1,3.1,3.3,3.1,2.8
